"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Paul Goldschmidt","STL","651","12.1%","21.7%","0.56",".317",".404",".578",".981",".260","3.6",".368","0.6","1.8","0.6","131","56.7",".419","177","9218"
"Ryan Raburn","CLE","201","11.4%","21.9%","0.52",".301",".393",".543",".936",".243","2.1",".361","0.9","-0.4","-0.1","36","13.5",".397","153","2218"
"Nelson Cruz","SEA","655","9.0%","25.0%","0.36",".302",".369",".566",".936",".264","2.5",".350","-3.8","1.6","-0.5","117","43.3",".396","158","2434"
"Jose Bautista","TOR","666","16.5%","15.9%","1.04",".250",".377",".536",".913",".285","4.5",".237","2.0","-0.5","0.5","115","40.1",".389","148","1887"
"Darin Ruf","SFG","312","14.7%","27.9%","0.53",".271",".385",".519",".904",".248","4.1",".344","-0.6","-0.5","0.1","56","18.0",".384","143","9929"
"Buster Posey","SFG","454","12.3%","19.2%","0.64",".304",".390",".499",".889",".195","1.5",".349","-0.6","-1.9","-0.4","79","24.2",".379","139","9166"
"Brandon Crawford","SFG","549","10.2%","19.1%","0.53",".298",".373",".522",".895",".224","5.1",".334","-1.5","1.4","0.5","95","28.5",".377","138","5343"
"Edwin Encarnacion","CLE","669","15.5%","19.9%","0.78",".258",".377",".504",".881",".245","2.7",".271","-7.5","-0.7","-0.1","111","29.4",".373","130","2151"
"Matt Joyce","ATL","238","16.0%","18.9%","0.84",".295",".408",".450",".858",".155","1.3",".351","-0.6","0.7","-0.2","41","10.7",".372","127","3353"
"Justin Turner","LAD","549","9.3%","16.0%","0.58",".290",".372",".509",".881",".219","2.7",".304","-1.9","0.7","0.1","93","23.7",".370","131","5235"
"Joey Votto","CIN","623","17.3%","16.2%","1.07",".284",".417",".419",".837",".135","2.7",".333","-3.0","-0.7","-0.1","101","28.0",".370","130","4314"
"Chris Iannetta","ARI","316","11.7%","27.5%","0.43",".254",".354",".511",".865",".257","1.0",".308","-3.2","0.8","-0.2","51","12.3",".367","120","8267"
"Curtis Granderson","NYM","682","13.3%","22.1%","0.60",".259",".364",".457",".821",".198","4.2",".305","1.0","2.0","-0.5","100","23.7",".357","131","4747"
"Daniel Nava","PHI","214","12.1%","17.8%","0.68",".301",".393",".421",".813",".120","3.1",".357","-1.3","1.0","0.0","33","6.5",".357","118","5450"
"Ian Kinsler","DET","679","6.6%","16.9%","0.39",".288",".348",".484",".831",".196","5.8",".314","2.7","1.3","-0.1","101","21.4",".356","124","6195"
"Jose Abreu","CHW","659","9.3%","21.7%","0.43",".261",".351",".481",".831",".219","2.8",".293","-0.7","-3.4","-0.4","101","21.5",".354","125","15676"
"Ben Zobrist","- - -","535","11.6%","10.5%","1.11",".276",".359",".450",".809",".173","3.5",".288","-0.5","1.0","-1.2","76","15.5",".349","122","7435"
"Joe Mauer","MIN","597","11.1%","13.9%","0.80",".305",".384",".417",".801",".112","2.4",".349","-3.8","-2.0","-0.5","87","14.1",".349","117","1857"
"Jed Lowrie","OAK","680","11.5%","18.8%","0.61",".267",".353",".448",".801",".181","1.4",".304","-1.5","2.1","-0.4","98","18.1",".347","124","4418"
"Michael Brantley","HOU","508","6.5%","10.4%","0.62",".311",".362",".437",".799",".126","3.4",".337","-1.0","0.1","-0.3","75","13.5",".347","121","4106"
"Nick Markakis","ATL","705","10.2%","11.3%","0.90",".297",".366",".440",".806",".143","2.1",".318","-1.4","-1.3","-0.7","100","17.2",".345","114","5930"
"J.D. Martinez","BOS","596","8.7%","24.3%","0.36",".274",".341",".448",".790",".174","2.1",".345","-4.2","-2.5","-0.6","84","15.7",".343","119","6184"
"Mike Napoli","CLE","645","12.1%","30.1%","0.40",".239",".335",".465",".800",".226","3.7",".296","-5.4","-0.2","0.2","89","13.0",".343","111","3057"
"Mark Reynolds","WSN","235","10.2%","27.2%","0.38",".248",".328",".476",".803",".228","0.8",".288","-2.4","-1.4","-0.1","33","5.3",".342","112","7619"
"Shin-Soo Choo","TEX","636","12.1%","21.1%","0.57",".261",".357",".423",".780",".162","4.7",".305","-0.9","-1.5","0.7","87","9.7",".339","102","3174"
"A.J. Ellis","LAD","217","14.7%","17.5%","0.84",".238",".355",".403",".758",".166","1.1",".265","-2.9","0.3","-0.1","28","3.9",".336","116","5677"
"Kurt Suzuki","ATL","388","5.7%","11.1%","0.51",".271",".332",".444",".776",".173","1.5",".275","-1.4","1.0","-0.2","52","6.3",".335","107","8259"
"Andrew McCutchen","PHI","574","14.1%","23.0%","0.61",".222",".334",".444",".778",".222","3.9",".242","1.2","0.0","0.3","79","9.6",".335","108","9847"
"Adrian Gonzalez","LAD","633","8.7%","18.5%","0.47",".285",".349",".435",".784",".150","1.4",".328","-3.0","-0.7","-1.2","83","8.5",".334","111","1908"
"Robinson Cano","SEA","648","7.6%","13.1%","0.58",".280",".338",".453",".791",".172","2.0",".294","-2.0","-0.8","-0.2","86","7.3",".334","112","3269"
"Robinson Chirinos","TEX","426","10.6%","32.9%","0.32",".222",".338",".419",".757",".197","3.4",".304","-3.7","0.1","0.1","56","6.5",".333","102","3142"
"Charlie Blackmon","COL","582","9.3%","15.6%","0.59",".270",".351",".411",".761",".140","4.3",".305","0.6","0.8","0.0","79","8.8",".333","93","7859"
"Seth Smith","BAL","373","9.7%","21.2%","0.46",".258",".340",".433",".774",".176","3.1",".301","-2.8","-0.6","0.2","49","3.5",".332","105","7331"
"Stephen Vogt","SFG","280","7.1%","23.6%","0.30",".263",".314",".490",".804",".227","4.5",".311","-1.6","1.8","0.1","38","2.8",".331","106","5000"
"Ryan Braun","MIL","447","7.6%","19.0%","0.40",".254",".313",".469",".782",".215","4.6",".274","0.0","0.1","0.0","58","5.6",".330","106","3410"
"Denard Span","- - -","501","10.2%","15.8%","0.65",".261",".341",".419",".760",".158","5.9",".291","2.4","0.1","-0.1","65","6.3",".330","112","8347"
"Daniel Murphy","COL","478","6.7%","15.5%","0.43",".279",".328",".452",".780",".174","2.5",".307","0.1","-0.4","-0.5","63","3.2",".328","88","4316"
"David Freese","PIT","503","11.5%","23.1%","0.50",".263",".368",".371",".739",".108","1.0",".336","-3.4","0.0","-0.8","64","2.3",".326","100","9549"
"Chris Gimenez","MIN","225","14.7%","26.7%","0.55",".220",".350",".382",".731",".161","2.7",".286","-1.1","0.6","0.0","28","0.9",".326","101","7324"
"Nori Aoki","SEA","467","7.3%","9.6%","0.76",".283",".349",".388",".738",".106","4.8",".309","3.3","-0.1","-2.6","58","2.5",".325","107","13075"
"Alcides Escobar","WSN","349","4.9%","16.0%","0.30",".288",".340",".404",".744",".116","5.3",".337","0.8","1.3","0.3","45","2.9",".325","101","6310"
"Russell Martin","TOR","365","13.7%","22.7%","0.60",".221",".343",".388",".731",".166","2.2",".261","0.3","-0.7","-0.9","45","1.0",".324","101","4616"
"Angel Pagan","SFG","543","7.7%","12.2%","0.64",".277",".331",".418",".750",".141","5.9",".298","1.0","-0.3","1.1","66","2.5",".324","102","2918"
"Yuli Gurriel","HOU","573","4.0%","11.0%","0.37",".291",".323",".428",".751",".138","3.6",".306","-0.5","-2.9","0.3","71","4.0",".323","107","19198"
"Steve Pearce","TOR","348","7.8%","19.5%","0.40",".252",".319",".438",".757",".185","1.9",".281","0.0","-0.8","-0.2","43","0.5",".323","100","9957"
"Rajai Davis","DET","370","5.9%","20.5%","0.29",".258",".306",".440",".746",".182","8.1",".308","1.0","0.4","0.3","44","2.0",".320","100","3708"
"Kendrys Morales","TOR","608","7.1%","21.7%","0.33",".250",".308",".445",".753",".196","1.1",".278","-7.5","-1.6","-0.3","73","-0.7",".320","98","8610"
"Donovan Solano","CIN","304","6.3%","20.1%","0.31",".284",".339",".385",".724",".101","0.7",".349","-1.9","0.2","-0.3","37","2.2",".319","98","8623"
"Asdrubal Cabrera","WSN","213","8.9%","18.8%","0.48",".242",".305",".447",".753",".205","3.4",".260","-2.0","-0.5","-0.1","27","-0.2",".319","97","4962"
"Dae-Ho Lee","SEA","317","6.3%","23.3%","0.27",".253",".312",".428",".740",".175","1.0",".294","-4.3","-0.2","-0.2","37","0.0",".318","103","18722"
"Yunel Escobar","LAA","381","7.6%","13.4%","0.57",".274",".333",".397",".730",".123","2.6",".305","-1.0","-2.1","-1.7","46","-0.9",".318","99","4191"
"Carlos Santana","CLE","255","18.4%","16.9%","1.09",".199",".349",".350",".699",".150","1.5",".212","-0.5","-0.2","-0.2","31","-0.8",".316","99","2396"
"Yadier Molina","STL","543","5.2%","13.6%","0.38",".273",".312",".439",".751",".166","3.9",".285","-3.9","-1.0","-0.2","64","-2.5",".316","95","7007"
"Brandon Phillips","CIN","623","4.3%","10.9%","0.40",".294",".328",".395",".723",".100","5.4",".315","1.4","-0.7","3.1","71","1.1",".315","97","791"
"Manny Pina","MIL","208","10.6%","18.3%","0.58",".189",".293",".439",".732",".250","1.6",".162","-0.3","0.2","-0.1","25","0.1",".315","96","2829"
"Yadiel Hernandez","WSN","327","5.8%","22.6%","0.26",".269",".312",".410",".722",".141","2.2",".326","-4.0","-0.9","-0.3","39","1.4",".315","101","19334"
"David Peralta","- - -","490","8.4%","23.3%","0.36",".251",".316",".415",".731",".164","2.5",".307","0.8","0.7","-1.4","58","2.0",".315","104","2136"
"Miguel Cabrera","DET","529","10.2%","20.8%","0.49",".249",".329",".399",".728",".149","1.1",".292","-5.8","-1.5","-0.8","61","-3.7",".313","92","1744"
"Aaron Hill","- - -","429","9.6%","13.8%","0.69",".262",".336",".378",".714",".116","2.8",".284","1.4","1.0","-0.3","48","-2.1",".313","90","6104"
"Jose Reyes","NYM","561","8.9%","14.1%","0.63",".246",".315",".413",".728",".168","7.2",".263","1.3","2.2","1.9","64","-4.0",".312","95","1736"
"Jhonny Peralta","STL","313","6.4%","17.9%","0.36",".260",".307",".408",".715",".149","2.4",".294","-2.0","0.3","-0.2","34","-2.6",".308","91","1738"
"Evan Longoria","SFG","209","5.3%","18.7%","0.28",".254",".297",".425",".722",".171","3.2",".280","0.3","-1.8","-0.6","24","-2.1",".308","93","9368"
"Josh Harrison","CHW","425","4.9%","16.7%","0.30",".256",".317",".370",".687",".114","4.0",".297","-0.4","-0.8","-0.4","47","-1.6",".305","98","8202"
"Brett Gardner","NYY","609","10.7%","17.6%","0.61",".236",".322",".368",".690",".132","7.3",".272","6.1","0.8","2.0","66","-4.9",".305","91","9927"
"Alex Gordon","KCR","568","8.8%","21.8%","0.40",".245",".324",".370",".694",".125","3.8",".299","-2.3","1.0","1.2","62","-4.7",".305","89","5209"
"Tommy Pham","- - -","622","9.0%","26.8%","0.34",".236",".312",".374",".686",".137","4.5",".304","3.7","-1.6","-0.2","68","-2.9",".304","89","2967"
"Nick Hundley","SFG","305","7.2%","27.9%","0.26",".241",".298",".408",".706",".167","4.2",".310","-1.6","-0.7","-0.2","33","-2.7",".304","91","3376"
"Brandon Belt","SFG","298","12.4%","27.2%","0.46",".213",".326",".350",".676",".138","2.9",".277","0.4","-1.3","-0.1","33","-1.5",".303","96","10264"
"Hunter Pence","SFG","539","7.4%","18.9%","0.39",".260",".315",".385",".701",".126","3.6",".301","2.7","1.2","-1.2","58","-8.1",".303","87","8252"
"Chris Denorfia","CHC","231","6.5%","24.2%","0.27",".269",".319",".373",".691",".104","2.2",".351","0.2","-0.7","-0.5","24","-2.0",".302","89","4400"
"Melky Cabrera","PIT","397","4.3%","10.3%","0.41",".280",".313",".399",".713",".119","3.3",".300","-0.8","-1.3","0.2","44","-6.5",".301","84","4022"
"Kelly Johnson","- - -","333","7.5%","19.5%","0.38",".247",".306",".391",".698",".145","2.8",".281","0.1","0.4","0.6","35","-4.7",".301","88","2234"
"Ryan Hanigan","BOS","201","10.0%","19.4%","0.51",".247",".337",".328",".664",".080","2.2",".306","-0.5","-0.5","-0.1","21","-2.0",".301","85","4952"
"A.J. Pollock","CHW","527","6.1%","18.6%","0.33",".245",".292",".389",".681",".143","3.5",".278","-0.9","-0.3","-0.3","55","-5.2",".297","92","9256"
"Jonny Gomes","- - -","262","11.8%","30.9%","0.38",".213",".313",".347",".660",".133","2.2",".293","0.5","-0.3","-0.3","25","-4.0",".294","84","1845"
"Brian McCann","HOU","216","8.8%","18.5%","0.48",".212",".301",".339",".640",".127","1.7",".229","-1.0","-0.6","-0.5","20","-5.1",".286","82","4810"
"Nick Swisher","- - -","260","13.5%","20.8%","0.65",".196",".312",".320",".631",".123","0.2",".228","-0.9","-1.2","-0.1","23","-5.8",".285","77","4599"
"Jarrod Dyson","ARI","452","10.4%","19.0%","0.55",".230",".313",".320",".633",".090","7.1",".275","3.7","1.2","4.0","41","-15.4",".281","68","4866"
"Alex Rios","KCR","411","3.6%","16.3%","0.22",".255",".287",".353",".640",".099","5.6",".294","-0.6","0.1","1.6","35","-11.3",".279","72","2090"
"Yan Gomes","CHC","293","2.7%","16.0%","0.17",".235",".260",".365",".625",".130","2.7",".252","-0.3","-1.9","0.2","25","-9.0",".271","73","9627"
"Shane Victorino","- - -","204","7.8%","15.7%","0.50",".230",".308",".292",".601",".062","6.7",".272","0.9","-0.2","1.3","16","-7.0",".271","67","1677"
"Mike Aviles","CLE","317","6.3%","12.0%","0.53",".231",".282",".317",".599",".086","3.6",".250","-1.1","-2.9","0.1","24","-11.8",".266","63","5986"
"Alexei Ramirez","- - -","506","4.2%","12.5%","0.33",".241",".277",".333",".610",".092","3.4",".265","-0.2","-0.1","-2.3","37","-22.6",".264","63","5133"
"Martin Prado","MIA","209","5.3%","16.7%","0.31",".244",".287",".305",".592",".061","2.0",".292","-0.9","-0.5","-0.3","16","-8.8",".263","66","3312"
"Jeff Mathis","ARI","203","6.9%","30.0%","0.23",".215",".277",".323",".600",".108","4.3",".309","0.1","-0.6","0.1","15","-10.1",".262","51","3448"
"Adam Rosales","- - -","312","3.5%","32.1%","0.11",".225",".260",".353",".613",".128","1.9",".312","0.9","0.6","-0.8","22","-15.7",".261","58","9682"
"Kole Calhoun","TEX","424","6.4%","32.1%","0.20",".196",".257",".330",".587",".134","3.3",".263","-0.8","0.5","-0.5","32","-16.7",".260","67","11200"
"Martin Maldonado","HOU","426","11.0%","29.8%","0.37",".172",".272",".300",".573",".129","2.0",".221","-4.4","-0.3","-0.3","32","-20.0",".258","61","6887"
"Gregor Blanco","SFG","203","5.9%","28.6%","0.21",".217",".262",".317",".580",".101","6.9",".300","0.7","0.3","0.3","14","-10.1",".254","58","3123"
"J.J. Hardy","BAL","268","4.5%","17.9%","0.25",".217",".255",".323",".578",".106","2.6",".252","-1.4","-0.4","-0.5","17","-15.8",".251","49","3797"
