"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Starlin Castro","MIA","676","4.1%","16.4%","0.25",".270",".300",".436",".736",".165","2.9",".293","-0.3","-3.1","-0.8","77","-7.8",".307","91","4579"
"P.J. Higgins","CHC","229","9.6%","25.3%","0.38",".229",".310",".383",".693",".154","2.2",".290","-1.6","0.6","-0.2","26","-0.6",".306","97","18433"
"Jose Iglesias","CIN","530","3.8%","13.2%","0.29",".288",".318",".407",".724",".119","3.9",".315","1.7","-1.9","-1.7","60","-6.3",".306","82","10231"
"Eugenio Suarez","CIN","574","9.8%","29.8%","0.33",".198",".286",".428",".713",".230","1.7",".224","-3.1","-0.2","-0.8","66","-3.9",".306","84","12552"
"Kolten Wong","STL","208","9.6%","14.4%","0.67",".265",".350",".326",".675",".061","5.9",".311","2.1","0.2","-0.1","23","-2.7",".305","92","12532"
"Jordy Mercer","PIT","584","8.7%","14.2%","0.61",".256",".328",".374",".701",".118","3.0",".286","2.7","1.2","-0.5","62","-7.0",".304","88","6547"
"Paulo Orlando","KCR","251","2.0%","21.1%","0.09",".249",".269",".444",".713",".195","6.3",".291","0.7","1.6","-0.7","26","-2.0",".303","89","8628"
"Yoshi Tsutsugo","- - -","262","11.1%","27.5%","0.40",".217",".307",".383",".689",".165","2.5",".278","-0.5","0.5","-0.6","29","-2.8",".302","89","27459"
"Kevin Pillar","TOR","542","3.3%","18.1%","0.18",".252",".282",".426",".708",".174","5.6",".281","2.1","1.1","1.3","58","-5.7",".302","88","12434"
"Caleb Joseph","BAL","355","7.6%","20.3%","0.38",".234",".299",".394",".693",".159","2.1",".269","0.1","0.0","-0.1","37","-3.4",".301","88","7087"
"Ezequiel Carrera","TOR","310","8.7%","22.6%","0.39",".248",".323",".356",".679",".107","5.3",".311","1.1","-0.3","-0.4","32","-4.4",".301","86","9048"
"Jason Castro","HOU","376","12.0%","32.7%","0.37",".210",".307",".377",".684",".167","4.2",".297","-2.7","-0.4","-0.2","39","-5.4",".301","90","8722"
"Jeff McNeil","NYM","426","6.8%","13.6%","0.50",".251",".319",".360",".679",".109","3.9",".280","-0.8","-0.5","0.2","47","-4.9",".301","92","15362"
"Randal Grichuk","TOR","545","5.0%","20.9%","0.24",".241",".281",".423",".703",".182","2.3",".266","-1.4","-1.9","-1.6","60","-6.5",".300","85","10243"
"Kevan Smith","CHW","294","3.1%","15.6%","0.20",".283",".309",".388",".697",".105","0.9",".323","-1.7","-0.7","-0.2","31","-5.2",".300","86","12284"
"Steven Souza Jr.","ARI","272","10.3%","27.6%","0.37",".220",".309",".369",".678",".149","5.5",".298","0.4","-0.3","0.6","28","-3.4",".299","84","5667"
"Robbie Grossman","OAK","482","12.2%","17.8%","0.69",".240",".334",".348",".682",".107","4.9",".288","0.1","0.1","-0.2","52","-8.7",".299","88","5254"
"Marcus Semien","OAK","236","10.6%","21.2%","0.50",".223",".305",".374",".679",".152","5.2",".260","0.7","0.5","0.6","25","-4.2",".299","93","12533"
"Yonder Alonso","OAK","532","8.5%","13.9%","0.61",".253",".316",".367",".683",".114","2.5",".284","-1.5","-1.2","-0.1","54","-8.5",".299","87","2530"
"Max Kepler","MIN","446","11.0%","14.8%","0.74",".227",".318",".348",".666",".121","3.4",".249","0.7","0.8","-0.7","47","-4.1",".298","95","12144"
"Didi Gregorius","NYY","344","4.9%","15.4%","0.32",".238",".276",".441",".718",".204","4.3",".237","1.1","0.2","-0.2","37","-6.7",".297","84","6012"
"Jacob Stallings","PIT","210","7.6%","19.0%","0.40",".262",".325",".382",".708",".120","1.6",".303","0.0","0.0","-0.1","22","-4.1",".297","82","13723"
"Elvis Andrus","TEX","428","6.5%","15.4%","0.42",".256",".308",".367",".675",".111","4.8",".292","3.0","-0.3","-0.5","43","-6.5",".296","76","8709"
"Avisail Garcia","MIL","207","9.7%","23.7%","0.41",".238",".333",".326",".659",".088","2.2",".315","0.1","0.2","-1.3","22","-4.2",".296","83","5760"
"Ian Desmond","WSN","641","7.0%","29.2%","0.24",".233",".290",".384",".674",".151","4.5",".307","3.3","1.8","0.4","62","-9.7",".294","83","6885"
"Byung-ho Park","MIN","244","8.6%","32.8%","0.26",".191",".275",".409",".684",".219","4.1",".230","0.9","0.5","0.1","24","-4.9",".294","79","18497"
"Danny Espinosa","WSN","601","9.0%","29.0%","0.31",".209",".306",".378",".684",".169","3.7",".261","1.0","3.2","0.7","59","-12.0",".294","78","9219"
"Martin Maldonado","MIL","253","13.8%","22.1%","0.63",".202",".332",".351",".683",".149","1.9",".234","0.0","-0.4","0.1","25","-5.1",".294","78","6887"
"Brian Anderson","MIA","383","9.7%","26.4%","0.37",".222",".311",".346",".657",".124","3.3",".291","-0.2","0.3","-0.2","39","-5.0",".293","90","18289"
"Jose Trevino","NYY","353","4.2%","17.6%","0.24",".248",".283",".388",".671",".140","3.3",".274","-1.2","0.3","-0.3","36","-4.7",".293","91","16725"
"Hunter Dozier","KCR","543","7.9%","28.4%","0.28",".216",".285",".394",".680",".179","5.1",".276","0.8","-1.2","-1.0","56","-9.7",".293","81","15117"
"Austin Jackson","CHW","203","8.4%","19.2%","0.44",".254",".318",".343",".661",".088","5.2",".319","0.5","0.2","-0.1","19","-4.4",".292","81","9848"
"Peter Bourjos","PHI","383","4.4%","23.8%","0.19",".251",".292",".389",".681",".138","6.1",".323","3.2","0.0","-0.6","37","-8.5",".291","78","2578"
"Javier Baez","DET","590","4.4%","24.9%","0.18",".238",".278",".393",".671",".155","5.2",".292","1.7","0.3","0.5","59","-8.7",".291","90","12979"
"Jorge Alfaro","SDP","274","4.0%","35.8%","0.11",".246",".285",".383",".667",".137","2.4",".364","-0.3","0.3","0.0","27","-4.1",".291","90","12180"
"Gary Sanchez","MIN","471","8.5%","28.9%","0.29",".205",".282",".377",".659",".172","2.3",".257","-2.4","-0.2","0.0","47","-7.3",".290","89","11442"
"Andrelton Simmons","LAA","424","5.7%","8.7%","0.65",".264",".309",".364",".673",".101","4.2",".277","0.7","-3.3","0.9","42","-10.9",".290","78","10847"
"Tyler Flowers","CHW","361","5.8%","28.8%","0.20",".239",".295",".356",".652",".118","0.6",".320","-1.2","-0.2","-0.6","33","-7.2",".288","81","9134"
"Gorkys Hernandez","SFG","348","8.9%","21.0%","0.42",".255",".327",".326",".652",".071","5.3",".331","3.0","0.1","0.5","33","-9.8",".288","77","4146"
"Chase d'Arnaud","ATL","262","8.8%","19.1%","0.46",".245",".317",".335",".652",".090","5.7",".303","0.6","0.4","0.4","24","-6.6",".287","76","6652"
"Brandon Barnes","COL","281","7.5%","23.8%","0.31",".251",".314",".341",".655",".090","5.0",".332","2.0","0.1","-0.1","26","-5.8",".287","64","629"
"Niko Goodrum","DET","325","8.9%","32.9%","0.27",".214",".292",".359",".651",".145","6.5",".301","0.2","-0.4","0.5","32","-7.6",".286","81","12092"
"Ben Revere","LAA","308","4.9%","8.1%","0.60",".275",".308",".344",".652",".069","6.5",".296","3.4","-0.3","1.5","28","-9.5",".284","76","4712"
"Gerardo Parra","COL","381","2.4%","19.2%","0.12",".253",".271",".399",".671",".147","5.3",".297","-1.3","-1.8","-0.6","34","-10.6",".284","58","8553"
"Kevin Kiermaier","TBR","480","5.4%","21.7%","0.25",".228",".278",".398",".676",".170","7.6",".267","1.4","0.7","1.4","45","-15.0",".284","79","11038"
"Miguel Rojas","MIA","528","4.5%","13.1%","0.35",".252",".297",".346",".643",".094","2.7",".272","-1.6","-3.2","-0.3","47","-14.3",".282","79","7802"
"Colby Rasmus","HOU","417","10.3%","29.0%","0.36",".206",".286",".355",".641",".149","2.7",".257","-1.3","1.6","0.2","37","-12.6",".282","77","9893"
"Gordon Beckham","- - -","279","9.3%","18.6%","0.50",".212",".294",".347",".641",".135","3.1",".245","0.3","-1.7","0.1","24","-8.6",".281","71","9015"
"Brett Wallace","SDP","256","11.3%","32.4%","0.35",".189",".309",".318",".627",".129","0.8",".271","-0.2","0.4","-0.1","22","-8.0",".280","73","8434"
"Ryan Goins","TOR","459","6.8%","20.9%","0.32",".237",".286",".356",".643",".120","2.7",".283","0.1","-0.4","-0.5","39","-16.5",".278","70","9807"
"Desmond Jennings","TBR","225","9.3%","25.8%","0.36",".200",".281",".350",".631",".150","4.2",".243","0.6","0.0","0.3","19","-7.4",".278","73","1965"
"Alcides Escobar","KCR","682","4.0%","14.1%","0.28",".261",".292",".350",".642",".089","5.4",".295","-1.4","-1.1","1.4","58","-22.7",".278","69","6310"
"Adam Duvall","- - -","427","8.7%","27.4%","0.32",".195",".274",".365",".639",".169","2.6",".237","1.5","1.6","-0.6","37","-12.9",".277","69","10950"
"Ivan De Jesus","CIN","243","7.0%","21.0%","0.33",".253",".311",".312",".623",".059","3.1",".324","-0.4","-0.1","0.0","20","-8.3",".277","66","9886"
"Andrew Romine","DET","203","5.4%","22.7%","0.24",".255",".307",".315",".622",".060","5.0",".328","-0.2","0.2","-0.1","17","-6.0",".276","70","1159"
"Gregory Polanco","PIT","382","9.4%","27.2%","0.35",".208",".283",".354",".637",".146","6.0",".258","-0.1","-0.1","2.1","34","-12.4",".275","70","12907"
"Joey Wendle","TBR","263","5.3%","17.9%","0.30",".231",".293",".340",".633",".109","6.6",".272","1.2","0.2","0.2","23","-10.2",".275","73","13853"
"Willians Astudillo","MIN","216","1.4%","5.6%","0.25",".236",".259",".375",".634",".139","0.9",".221","-1.7","-1.7","-0.1","19","-7.5",".272","72","15608"
"Austin Barnes","LAD","242","9.5%","23.1%","0.41",".203",".293",".340",".633",".137","5.2",".248","-0.7","-0.7","0.5","20","-10.1",".272","67","12158"
"Chris Herrmann","ARI","256","11.3%","26.2%","0.43",".181",".273",".345",".619",".164","5.0",".207","0.4","1.2","0.9","21","-10.6",".272","58","9284"
"Hyun Soo Kim","- - -","239","9.2%","19.2%","0.48",".231",".307",".292",".599",".061","2.2",".287","0.0","0.5","-0.2","19","-10.6",".268","61","18718"
"Adeiny Hechavarria","- - -","321","5.0%","18.1%","0.28",".247",".279",".345",".624",".098","3.2",".280","0.1","0.2","0.2","25","-12.3",".268","68","10459"
"Jonathan Villar","- - -","207","9.2%","26.1%","0.35",".232",".301",".292",".593",".059","4.4",".313","-0.5","0.3","0.9","17","-9.4",".266","64","10071"
"Eric Sogard","OAK","401","5.7%","12.5%","0.46",".247",".294",".304",".598",".056","5.1",".283","2.0","0.0","0.6","30","-15.3",".266","66","7927"
"Maikel Franco","WSN","388","3.1%","19.3%","0.16",".229",".255",".342",".597",".113","2.0",".262","-0.5","-3.0","-0.1","29","-15.1",".261","64","12179"
"John Hicks","DET","333","3.9%","32.7%","0.12",".210",".240",".379",".620",".169","1.8",".273","-3.2","-0.3","-0.3","24","-17.4",".259","57","12547"
"Travis Shaw","MIL","270","13.3%","33.0%","0.40",".157",".281",".270",".551",".113","1.0",".216","0.2","-0.5","-0.1","17","-16.8",".248","47","11982"
"Erik Gonzalez","PIT","229","3.5%","17.5%","0.20",".232",".258",".300",".558",".068","3.1",".274","-1.0","-0.3","-0.6","14","-13.4",".244","49","13369"
"JB Shuck","CHW","241","5.0%","8.7%","0.57",".205",".248",".299",".547",".094","4.9",".210","1.0","0.1","-0.7","13","-15.5",".240","46","6677"
"Roberto Perez","CLE","210","10.0%","33.3%","0.30",".168",".256",".263",".519",".095","4.0",".257","-0.2","-0.4","0.1","11","-13.5",".236","41","2900"
"Keon Broxton","- - -","228","8.8%","45.6%","0.19",".167",".242",".275",".517",".108","4.9",".292","0.7","0.0","-0.7","11","-18.0",".229","39","9253"
"Sandy Leon","BOS","288","5.2%","26.0%","0.20",".177",".232",".279",".511",".102","3.4",".226","-1.4","-0.2","0.1","13","-20.6",".227","34","5273"
"Austin Hedges","CLE","338","7.4%","23.1%","0.32",".163",".241",".248",".489",".085","2.9",".193","-1.9","-1.8","0.1","16","-22.8",".225","42","12976"
