"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Yasmani Grandal","LAD","518","13.9%","23.9%","0.58",".241",".349",".466",".815",".225","3.1",".278","-4.8","-1.0","-0.3","76","15.6",".352","125","11368"
"Cameron Maybin","DET","391","9.2%","17.6%","0.52",".315",".383",".418",".801",".103","6.9",".383","2.2","0.2","0.3","57","10.8",".352","121","5223"
"Tony Kemp","OAK","397","13.1%","12.8%","1.02",".279",".382",".418",".800",".139","5.4",".304","1.8","1.7","0.3","60","12.1",".351","129","14894"
"Trea Turner","LAD","708","6.4%","18.5%","0.34",".298",".343",".466",".809",".169","6.4",".342","1.7","1.3","3.5","103","22.4",".350","128","16252"
"Brandon Drury","- - -","568","6.7%","22.2%","0.30",".263",".320",".492",".813",".230","3.5",".293","-3.2","0.9","-1.3","83","18.0",".350","123","11615"
"Whit Merrifield","KCR","707","8.6%","16.1%","0.54",".304",".367",".438",".806",".134","6.1",".352","3.1","-0.1","4.4","103","20.0",".349","119","11281"
"Pedro Alvarez","BAL","376","9.8%","25.8%","0.38",".249",".322",".504",".826",".255","1.8",".282","1.0","1.0","0.0","54","9.6",".349","119","2495"
"Daniel Vogelbach","- - -","461","15.8%","24.7%","0.64",".238",".360",".433",".793",".194","1.5",".290","-2.1","-0.7","-0.5","67","14.4",".349","128","14130"
"Jose Abreu","CHW","695","6.8%","18.0%","0.38",".293",".353",".468",".820",".175","1.3",".327","-2.7","-1.6","-1.2","99","17.6",".349","121","15676"
"Mitch Moreland","TEX","515","6.2%","21.7%","0.29",".278",".330",".482",".812",".204","1.5",".317","-0.5","1.2","0.0","72","14.2",".348","117","3086"
"Teoscar Hernandez","TOR","535","6.4%","28.4%","0.22",".267",".316",".491",".807",".224","3.8",".335","0.2","-2.3","-0.4","77","16.2",".348","129","13066"
"Michael Saunders","TOR","558","10.6%","28.1%","0.38",".253",".338",".478",".815",".224","3.0",".321","1.4","-1.4","-0.9","79","13.5",".348","119","9981"
"Jason Kipnis","CLE","688","8.7%","21.2%","0.41",".275",".343",".469",".811",".193","5.4",".324","1.9","-2.5","1.4","98","16.5",".347","114","9776"
"Patrick Wisdom","CHC","375","8.5%","40.8%","0.21",".231",".305",".518",".823",".287","3.5",".318","-0.5","-0.2","0.1","55","9.9",".346","117","13602"
"Chris Carter","MIL","644","11.8%","32.0%","0.37",".222",".321",".499",".821",".277","2.9",".260","-3.1","-1.1","-0.1","91","14.9",".346","113","9911"
"Eduardo Escobar","- - -","631","8.2%","20.0%","0.41",".272",".334",".489",".824",".217","2.9",".308","0.5","-0.4","-1.5","90","16.2",".346","117","6153"
"Rhys Hoskins","PHI","672","10.7%","25.1%","0.43",".246",".332",".462",".794",".216","2.8",".292","-2.6","-0.1","-0.7","96","18.9",".345","122","16472"
"Evan Gattis","HOU","499","8.6%","25.5%","0.34",".251",".319",".508",".826",".257","1.9",".273","-0.2","-1.1","-0.2","70","11.1",".345","121","11003"
"Austin Slater","SFG","325","12.3%","27.4%","0.45",".264",".366",".408",".774",".144","6.8",".361","3.1","-1.2","1.6","46","8.9",".344","124","16153"
"Hunter Renfroe","BOS","572","7.7%","22.7%","0.34",".259",".315",".501",".816",".242","2.4",".284","-2.8","1.2","-1.0","83","14.0",".344","113","15464"
"Josh Bell","- - -","647","12.5%","15.8%","0.79",".266",".362",".422",".784",".156","2.4",".296","-2.0","-2.5","-1.1","91","17.5",".344","123","13145"
"Todd Frazier","CIN","678","6.5%","20.2%","0.32",".255",".309",".498",".806",".242","3.7",".271","0.5","-0.2","-0.8","92","15.7",".342","116","785"
"Brandon Guyer","TBR","385","6.5%","15.8%","0.41",".265",".359",".413",".771",".148","5.6",".303","-0.2","0.2","0.2","52","8.9",".342","120","2636"
"David Peralta","ARI","577","7.5%","16.3%","0.46",".293",".352",".444",".796",".150","4.6",".333","0.8","0.9","-0.5","81","10.2",".342","104","2136"
"Buster Posey","SFG","614","10.4%","11.1%","0.94",".288",".362",".434",".796",".147","4.1",".303","-2.3","-1.4","0.4","84","11.6",".341","114","9166"
"Francisco Cervelli","PIT","510","9.0%","18.4%","0.49",".295",".370",".401",".771",".106","3.6",".359","-0.1","-0.2","-0.5","69","11.2",".341","117","5275"
"Corey Dickerson","PIT","533","3.9%","15.0%","0.26",".300",".330",".474",".804",".175","5.6",".333","-1.4","-1.8","0.1","74","11.2",".341","114","10762"
"Adam Frazier","- - -","639","7.5%","10.8%","0.70",".305",".368",".411",".779",".106","4.8",".339","0.8","-0.2","-0.7","91","13.7",".341","113","15223"
"A.J. Pollock","ARI","466","7.5%","15.2%","0.49",".266",".330",".471",".801",".205","7.5",".291","0.4","1.0","1.2","64","7.6",".340","103","9256"
"Jay Bruce","- - -","589","7.5%","21.4%","0.35",".250",".309",".506",".815",".256","4.4",".266","-3.1","0.3","-0.3","80","10.4",".340","111","9892"
"Christian Walker","ARI","243","7.8%","20.6%","0.38",".271",".333",".459",".792",".188","3.8",".317","1.2","0.0","-0.4","34","3.9",".339","110","13419"
"Enrique Hernandez","BOS","585","10.4%","18.8%","0.55",".250",".337",".449",".786",".199","3.6",".278","2.1","1.2","-0.3","82","11.3",".338","109","10472"
"Dylan Moore","SEA","255","13.3%","29.4%","0.45",".224",".368",".385",".753",".161","8.3",".320","2.0","-0.2","0.7","35","5.7",".338","126","18042"
"Wilmer Flores","SFG","436","9.4%","12.8%","0.73",".262",".335",".447",".782",".185","2.8",".264","-3.0","-0.8","-0.2","61","8.2",".337","112","5827"
"Willson Contreras","CHC","483","10.8%","28.6%","0.38",".237",".340",".438",".778",".201","2.9",".298","-1.7","-0.9","-1.1","68","9.0",".337","111","11609"
"Starling Marte","PIT","606","5.8%","18.0%","0.32",".277",".327",".460",".787",".182","6.6",".312","2.2","-0.7","0.6","82","11.0",".337","112","9241"
"Austin Nola","SEA","267","8.6%","23.6%","0.37",".269",".342",".454",".796",".185","3.9",".325","2.1","-0.7","0.1","37","3.9",".337","114","15941"
"Logan Forsythe","TBR","567","8.1%","22.4%","0.36",".264",".333",".444",".778",".180","4.5",".314","2.6","-0.8","-1.6","75","8.2",".336","113","7185"
"Charlie Culberson","ATL","322","6.5%","26.4%","0.25",".270",".326",".466",".792",".196","5.0",".340","1.0","-0.2","-0.2","43","5.3",".335","107","3298"
"Adam Jones","BAL","581","4.1%","17.6%","0.24",".269",".308",".474",".782",".205","3.8",".286","1.2","-1.1","0.0","75","9.7",".334","111","6368"
"Derek Dietrich","CIN","306","9.2%","24.2%","0.38",".187",".328",".462",".790",".275","4.3",".176","0.9","0.9","-0.4","42","3.7",".334","100","10542"
"Mark Canha","OAK","411","8.3%","21.4%","0.39",".249",".328",".449",".778",".200","2.5",".282","0.8","-0.5","-0.8","55","6.5",".334","115","11445"
"Matt Adams","- - -","337","8.0%","21.7%","0.37",".239",".309",".477",".786",".239","1.2",".245","-1.9","0.4","-0.2","45","5.2",".334","108","9393"
"J.D. Davis","- - -","365","10.7%","33.4%","0.32",".248",".340",".418",".758",".170","2.9",".360","-0.5","-2.0","-0.6","49","6.9",".333","119","16219"
"Jedd Gyorko","STL","402","10.9%","19.2%","0.57",".262",".346",".416",".762",".154","3.3",".303","-2.2","-1.7","0.1","53","5.9",".333","111","10816"
"Dexter Fowler","CHC","690","12.2%","22.3%","0.55",".250",".346",".411",".757",".161","6.6",".308","-2.4","1.4","0.9","88","10.8",".333","109","4062"
"James McCann","CHW","476","6.3%","28.8%","0.22",".273",".328",".460",".789",".187","3.8",".359","0.9","-0.3","0.1","65","5.2",".333","108","12859"
"Josh Harrison","PIT","542","5.2%","16.6%","0.31",".272",".339",".432",".771",".160","4.9",".303","0.7","1.1","0.4","71","5.1",".332","104","8202"
"Daniel Descalso","COL","289","11.8%","19.4%","0.61",".264",".349",".424",".773",".160","5.1",".305","0.9","0.5","0.4","37","3.3",".332","90","8392"
"Matt Chapman","TOR","621","11.0%","27.4%","0.40",".229",".324",".433",".757",".204","2.9",".277","2.2","1.9","-1.0","81","10.4",".331","117","16505"
"Carlos Santana","CLE","666","16.2%","18.3%","0.89",".231",".357",".395",".752",".164","3.9",".261","1.6","-1.2","0.7","84","9.2",".331","107","2396"
"Alex Avila","CHW","209","18.2%","37.3%","0.49",".213",".359",".373",".732",".160","0.6",".341","-2.4","0.3","-0.1","26","1.8",".329","107","7476"
"Andrew McCutchen","PIT","675","10.2%","21.2%","0.48",".256",".336",".430",".766",".174","3.4",".297","-1.0","0.5","-2.0","85","5.9",".329","105","9847"
"Mike Moustakas","- - -","635","7.7%","16.2%","0.48",".251",".315",".459",".774",".208","2.7",".259","-3.1","1.1","0.1","81","7.3",".329","105","4892"
"Zack Cozart","CIN","214","6.5%","13.6%","0.48",".258",".310",".459",".769",".201","4.2",".258","1.2","0.0","-0.7","27","2.5",".328","106","2616"
"Jason Heyward","CHC","589","11.5%","18.7%","0.62",".251",".343",".429",".772",".177","4.7",".281","2.9","-0.8","0.0","78","3.9",".328","100","4940"
"Mark Trumbo","- - -","545","6.6%","24.2%","0.27",".262",".310",".449",".759",".187","2.5",".313","-2.3","0.5","-0.2","67","6.1",".327","107","6876"
"Brandon Crawford","SFG","623","9.1%","18.5%","0.50",".275",".342",".430",".772",".156","5.9",".322","1.0","1.5","1.1","78","4.4",".327","104","5343"
"Evan Longoria","TBR","670","7.6%","19.7%","0.39",".270",".328",".435",".764",".166","2.6",".309","-0.3","1.4","-0.1","82","7.1",".327","109","9368"
"Kyle Seager","SEA","650","8.9%","16.9%","0.53",".249",".323",".450",".773",".201","2.2",".262","-3.2","2.7","-0.4","82","3.1",".326","106","9785"
"Jon Berti","MIA","287","8.4%","25.4%","0.33",".273",".348",".406",".755",".133","7.1",".360","3.6","0.9","1.9","38","1.6",".326","104","12037"
"Ehire Adrianza","MIN","236","8.5%","16.9%","0.50",".272",".349",".416",".765",".144","4.9",".311","0.2","0.8","-1.0","31","1.3",".326","102","8418"
"Trey Mancini","BAL","616","8.3%","23.2%","0.36",".255",".326",".432",".758",".176","2.1",".308","-2.4","-2.4","-0.5","80","5.8",".326","105","15149"
"Aaron Hicks","NYY","255","12.2%","28.2%","0.43",".235",".325",".443",".769",".208","2.7",".286","-0.2","0.9","-0.8","33","1.2",".325","103","5297"
"Joey Butler","TBR","276","5.8%","29.7%","0.20",".276",".326",".416",".742",".140","3.4",".377","-1.3","-2.9","0.1","34","2.6",".325","108","7799"
"Neil Walker","PIT","603","7.3%","18.2%","0.40",".269",".328",".427",".756",".158","3.9",".306","1.9","0.7","0.1","73","5.6",".325","106","7539"
"C.J. Cron","MIN","499","5.8%","21.4%","0.27",".253",".311",".469",".780",".216","0.9",".277","-4.2","-1.2","-0.2","65","2.1",".325","101","12546"
"Luis Valbuena","HOU","493","10.1%","21.5%","0.47",".224",".310",".438",".748",".214","2.2",".235","-1.3","-1.1","0.0","60","4.5",".325","108","4969"
"Yandy Diaz","TBR","541","12.8%","15.7%","0.81",".256",".353",".387",".740",".131","2.3",".286","-1.4","-0.1","-0.7","70","4.6",".325","111","16578"
"Christian Yelich","MIL","475","14.7%","23.8%","0.62",".248",".362",".373",".736",".125","5.0",".321","0.9","0.8","0.1","62","4.0",".325","102","11477"
"Adolis Garcia","TEX","657","6.1%","27.9%","0.22",".250",".300",".456",".756",".207","6.6",".309","3.0","0.9","2.1","83","7.6",".324","112","19287"
"Jonathan Schoop","DET","674","5.5%","19.7%","0.28",".278",".320",".435",".755",".157","2.8",".317","-0.3","-1.6","-0.2","87","5.3",".324","107","11265"
"Eduardo Nunez","- - -","595","4.9%","14.8%","0.33",".288",".325",".432",".758",".145","6.6",".314","-1.7","1.0","3.6","73","2.7",".324","101","6848"
"Josh Reddick","- - -","439","8.9%","12.8%","0.70",".281",".345",".405",".749",".123","4.0",".306","0.6","-0.1","0.1","54","2.0",".324","104","3892"
"Seth Brown","OAK","555","9.2%","26.3%","0.35",".230",".305",".444",".749",".214","4.7",".273","0.1","1.4","0.9","70","6.0",".323","117","18171"
"Jorge Soler","- - -","602","11.1%","23.6%","0.47",".223",".316",".432",".749",".209","1.4",".250","-5.8","-0.5","-0.5","77","4.3",".323","100","14221"
"Tim Anderson","CHW","351","4.0%","15.7%","0.25",".301",".339",".395",".734",".093","5.6",".347","1.3","-0.7","2.2","44","3.6",".323","110","15172"
"DJ LeMahieu","COL","581","6.4%","14.1%","0.45",".276",".321",".428",".749",".152","4.4",".298","0.6","-1.0","-1.2","72","3.7",".322","87","9874"
"Eric Haase","DET","351","6.8%","27.6%","0.25",".254",".305",".443",".748",".189","2.1",".316","-0.5","-0.7","-0.3","44","3.5",".322","112","14111"
"Omar Narvaez","MIL","445","9.2%","18.9%","0.49",".266",".342",".402",".743",".136","1.5",".308","-0.8","-1.3","-0.4","57","2.9",".322","100","13338"
"Ben Gamel","- - -","400","12.8%","26.3%","0.49",".247",".347",".388",".735",".141","3.9",".329","1.7","0.1","-2.3","51","2.5",".322","100","12160"
"Matt Wieters","BAL","282","7.4%","23.8%","0.31",".267",".319",".422",".742",".155","1.5",".328","-2.1","0.1","-0.1","34","1.9",".321","102","4298"
"Trevor Plouffe","MIN","632","7.9%","19.6%","0.40",".244",".307",".435",".742",".190","3.6",".274","1.8","-3.1","-0.3","75","4.0",".321","100","7462"
"Jurickson Profar","SDP","658","11.1%","15.7%","0.71",".243",".331",".391",".723",".148","4.0",".272","-1.0","-0.3","-0.1","81","5.5",".320","110","10815"
"Welington Castillo","ARI","457","7.2%","26.5%","0.27",".264",".322",".423",".745",".159","2.1",".337","-5.1","1.6","0.2","54","0.4",".319","91","3256"
"Asdrubal Cabrera","TBR","551","6.5%","19.4%","0.34",".265",".315",".430",".744",".164","5.0",".306","1.5","-1.0","-0.2","64","2.4",".319","104","4962"
"Greg Garcia","SDP","372","14.2%","22.3%","0.64",".248",".364",".354",".718",".106","4.2",".323","0.7","0.6","-1.1","46","-0.4",".319","98","10951"
"Marwin Gonzalez","HOU","552","9.6%","22.8%","0.42",".247",".324",".409",".733",".162","3.2",".301","-1.5","-0.1","-1.1","66","1.3",".318","104","5497"
"Max Muncy","LAD","248","15.7%","24.2%","0.65",".192",".331",".389",".720",".197","3.0",".203","-0.8","0.4","0.0","30","-0.8",".316","98","13301"
"Eddie Rosario","- - -","412","6.3%","14.8%","0.43",".259",".305",".435",".740",".177","5.1",".273","0.0","0.5","0.6","50","0.5",".316","98","12155"
"Trevor Story","BOS","396","8.1%","30.8%","0.26",".238",".303",".434",".737",".196","5.4",".309","0.7","-0.1","2.3","47","2.0",".316","100","12564"
"Carlos Gomez","- - -","477","6.5%","21.2%","0.31",".255",".314",".409",".724",".154","5.1",".307","3.8","1.7","-0.3","54","0.8",".315","98","4881"
